| tabla                 | columna            | tipo_dato                   | longitud_precision | permite_null | valor_defecto                                                | restricciones | descripcion     |
| --------------------- | ------------------ | --------------------------- | ------------------ | ------------ | ------------------------------------------------------------ | ------------- | --------------- |
| contrasenas           | id_contrasena      | integer                     | 32                 | NO           | nextval('contrasenas_id_contrasena_seq'::regclass)           | PRIMARY KEY   | Sin descripción |
| contrasenas           | id_usuario         | integer                     | 32                 | NO           | -                                                            | FOREIGN KEY   | Sin descripción |
| contrasenas           | sitio_web          | character varying           | 255                | YES          | -                                                            | NINGUNO       | Sin descripción |
| contrasenas           | usuario_cuenta     | character varying           | 100                | YES          | -                                                            | NINGUNO       | Sin descripción |
| contrasenas           | clave_cifrada      | text                        | -                  | YES          | -                                                            | NINGUNO       | Sin descripción |
| movimiento_financiero | id_movimiento      | integer                     | 32                 | NO           | nextval('movimiento_financiero_id_movimiento_seq'::regclass) | PRIMARY KEY   | Sin descripción |
| movimiento_financiero | id_usuario         | integer                     | 32                 | NO           | -                                                            | FOREIGN KEY   | Sin descripción |
| movimiento_financiero | monto              | numeric                     | 12                 | NO           | -                                                            | NINGUNO       | Sin descripción |
| movimiento_financiero | tipo               | character varying           | 50                 | YES          | -                                                            | NINGUNO       | Sin descripción |
| movimiento_financiero | descripcion        | text                        | -                  | YES          | -                                                            | NINGUNO       | Sin descripción |
| movimiento_financiero | fecha              | timestamp without time zone | -                  | YES          | CURRENT_TIMESTAMP                                            | NINGUNO       | Sin descripción |
| recordatorio_salud    | id_recordatorio    | integer                     | 32                 | NO           | nextval('recordatorio_salud_id_recordatorio_seq'::regclass)  | PRIMARY KEY   | Sin descripción |
| recordatorio_salud    | id_usuario         | integer                     | 32                 | NO           | -                                                            | FOREIGN KEY   | Sin descripción |
| recordatorio_salud    | tipo_recordatorio  | character varying           | 100                | YES          | -                                                            | NINGUNO       | Sin descripción |
| recordatorio_salud    | frecuencia_minutos | integer                     | 32                 | YES          | -                                                            | NINGUNO       | Sin descripción |
| recordatorio_salud    | activo             | boolean                     | -                  | YES          | true                                                         | NINGUNO       | Sin descripción |
| tarea                 | id_tarea           | integer                     | 32                 | NO           | nextval('tarea_id_tarea_seq'::regclass)                      | PRIMARY KEY   | Sin descripción |
| tarea                 | id_usuario         | integer                     | 32                 | NO           | -                                                            | FOREIGN KEY   | Sin descripción |
| tarea                 | titulo             | character varying           | 150                | NO           | -                                                            | NINGUNO       | Sin descripción |
| tarea                 | descripcion        | text                        | -                  | YES          | -                                                            | NINGUNO       | Sin descripción |
| tarea                 | fecha_vencimiento  | date                        | -                  | YES          | -                                                            | NINGUNO       | Sin descripción |
| tarea                 | estado             | character varying           | 50                 | YES          | -                                                            | NINGUNO       | Sin descripción |
| usuario               | id_usuario         | integer                     | 32                 | NO           | nextval('usuario_id_usuario_seq'::regclass)                  | PRIMARY KEY   | Sin descripción |
| usuario               | nombre             | character varying           | 100                | NO           | -                                                            | NINGUNO       | Sin descripción |
| usuario               | correo             | character varying           | 150                | NO           | -                                                            | UNIQUE        | Sin descripción |
| usuario               | contrasena         | character varying           | 255                | NO           | -                                                            | NINGUNO       | Sin descripción |
| usuario               | rol                | character varying           | 50                 | YES          | -                                                            | NINGUNO       | Sin descripción |
| usuario               | fecha_registro     | timestamp without time zone | -                  | YES          | CURRENT_TIMESTAMP                                            | NINGUNO       | Sin descripción |
